# @name org.openrewrite.java.spring.table.SpringComponents
# @instanceName Spring component definitions
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,componentType,org1,org2
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/exception/GlobalExceptionHandler.java,com.symphony.bdk.workflow.exception.GlobalExceptionHandler,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/expiration/DefaultWorkflowExpirationPlanner.java,com.symphony.bdk.workflow.expiration.DefaultWorkflowExpirationPlanner,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/expiration/WorkflowExpirationService.java,com.symphony.bdk.workflow.expiration.WorkflowExpirationService,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/logs/LogsStreamingAppender.java,com.symphony.bdk.workflow.logs.LogsStreamingAppender,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/WorkflowManagementService.java,com.symphony.bdk.workflow.management.WorkflowManagementService,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/converter/VersionedWorkflowConverter.java,com.symphony.bdk.workflow.management.converter.VersionedWorkflowConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/converter/WorkflowConverter.java,com.symphony.bdk.workflow.management.converter.WorkflowConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/converter/WorkflowVersionConverter.java,com.symphony.bdk.workflow.management.converter.WorkflowVersionConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/MonitoringService.java,com.symphony.bdk.workflow.monitoring.service.MonitoringService,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/converter/ActivityInstViewConverter.java,com.symphony.bdk.workflow.monitoring.service.converter.ActivityInstViewConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/converter/VersionedWorkflowViewConverter.java,com.symphony.bdk.workflow.monitoring.service.converter.VersionedWorkflowViewConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/converter/WorkflowInstViewConverter.java,com.symphony.bdk.workflow.monitoring.service.converter.WorkflowInstViewConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/converter/WorkflowViewConverter.java,com.symphony.bdk.workflow.monitoring.service.converter.WorkflowViewConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/scheduled/ScheduledJobsRegistry.java,com.symphony.bdk.workflow.scheduled.ScheduledJobsRegistry,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/security/AuthorizationAspect.java,com.symphony.bdk.workflow.security.AuthorizationAspect,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/security/Authorized.java,com.symphony.bdk.workflow.security.Authorized,Default,ALL
github.com,finos/symphony-wdk,master,studio/src/main/java/com/symphony/devsol/config/AccessFilter.java,com.symphony.devsol.config.AccessFilter,Default,ALL
github.com,finos/symphony-wdk,master,studio/src/main/java/com/symphony/devsol/config/AuthFilter.java,com.symphony.devsol.config.AuthFilter,Default,ALL
github.com,finos/symphony-wdk,master,studio/src/main/java/com/symphony/devsol/config/WdkFilter.java,com.symphony.devsol.config.WdkFilter,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/aot/sample/ConfigWithCustomImplementation.java,org.springframework.data.aot.sample.ConfigWithCustomImplementation$RepositoryWithCustomImplementationImpl,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/aot/sample/ConfigWithFragments.java,org.springframework.data.aot.sample.ConfigWithFragments$CustomImplInterface1Impl,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/aot/sample/ConfigWithFragments.java,org.springframework.data.aot.sample.ConfigWithFragments$CustomImplInterface2Impl,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/aot/sample/ConfigWithTransactionManagerPresentAndAtComponentAnnotatedRepository.java,org.springframework.data.aot.sample.ConfigWithTransactionManagerPresentAndAtComponentAnnotatedRepository$MyComponentTxRepo,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/repository/config/annotated/MyAnnotatedRepositoryImpl.java,org.springframework.data.repository.config.annotated.MyAnnotatedRepositoryImpl,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/repository/config/annotated/MyFragmentImpl.java,org.springframework.data.repository.config.annotated.MyFragmentImpl,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/repository/config/stereotype/MyStereotypeRepository.java,org.springframework.data.repository.config.stereotype.MyStereotypeRepository,Default,ALL
github.com,spring-projects/spring-data-commons,main,src/test/java/org/springframework/data/repository/config/stereotype/MyStereotypeRepositoryImpl.java,org.springframework.data.repository.config.stereotype.MyStereotypeRepositoryImpl,Default,ALL
