# @name io.moderne.prethink.table.TestQualityIssues
# @instanceName Test quality issues
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,className,methodName,issueType,severity,language,evidence,org1,org2
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,body,missing assertion,medium,java,"Test method body() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,article,missing assertion,medium,java,"Test method article() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,navigation,missing assertion,medium,java,"Test method navigation() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,sidebar,missing assertion,medium,java,"Test method sidebar() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,section1,missing assertion,medium,java,"Test method section1() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,section2,missing assertion,medium,java,"Test method section2() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,section3,missing assertion,medium,java,"Test method section3() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,section4,missing assertion,medium,java,"Test method section4() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,section5,missing assertion,medium,java,"Test method section5() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,list,missing assertion,medium,java,"Test method list() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
