# @name org.openrewrite.table.LanguageCompositionPerFile
# @instanceName Per-file language composition report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,language,sourceFileType,linesOfText,hasParseFailures,org1,org2
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4InstantMessageCreatedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4MessageSentEventProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,77,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4MessageSuppressedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4RoomCreatedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4RoomDeactivatedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4RoomMemberDemotedFromOwnerProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,15,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4RoomMemberPromotedToOwnerProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4RoomReactivatedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4RoomUpdatedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4SharedPostProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4UserJoinedRoomProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4UserLeftRoomProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4UserRequestedToJoinRoomProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/WorkflowEventType.java,Java,org.openrewrite.java.tree.J$CompilationUnit,277,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/exception/DuplicateException.java,Java,org.openrewrite.java.tree.J$CompilationUnit,8,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/exception/GlobalExceptionHandler.java,Java,org.openrewrite.java.tree.J$CompilationUnit,94,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/exception/NotFoundException.java,Java,org.openrewrite.java.tree.J$CompilationUnit,8,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/exception/UnauthorizedException.java,Java,org.openrewrite.java.tree.J$CompilationUnit,9,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/expiration/DefaultWorkflowExpirationPlanner.java,Java,org.openrewrite.java.tree.J$CompilationUnit,38,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/expiration/WorkflowExpirationPlanner.java,Java,org.openrewrite.java.tree.J$CompilationUnit,7,false,Default,ALL
