# @name org.openrewrite.java.dependencies.table.DependencyListReport
# @instanceName Dependency report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,buildTool,groupId,artifactId,version,dependencyGroupId,dependencyArtifactId,dependencyVersion,direct,resolutionFailure,org1,org2
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter-json,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,org.finos.springbot,entity-json,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter-aop,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter-actuator,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow-testing,10.0.4-SNAPSHOT,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow-testing,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter-validation,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow-testing,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter-test,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow-testing,10.0.4-SNAPSHOT,org.junit.jupiter,junit-jupiter-engine,5.12.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,entities,10.0.4-SNAPSHOT,org.finos.springbot,entity-json,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.finos.springbot,entities,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.finos.symphony.bdk,symphony-bdk-core-spring-boot-starter,3.0.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,io.netty,netty-codec,4.1.126.Final,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,io.netty,netty-codec-http,4.1.126.Final,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.apache.commons,commons-lang3,3.18.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,com.microsoft.azure,msal4j,1.21.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,com.microsoft.bot,bot-integration-spring,4.14.3,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,com.microsoft.bot,bot-azure,4.14.3,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,com.azure,azure-storage-blob,12.31.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,com.azure,azure-identity,1.18.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,com.azure,azure-core-http-netty,1.16.1,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.apache.httpcomponents,httpclient,4.5.13,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.jsoup,jsoup,1.17.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.graalvm.js,js,23.0.3,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter-thymeleaf,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,com.google.guava,guava,32.1.0-jre,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,org.apache.commons,commons-lang3,3.17.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,com.rometools,rome,1.15.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.19.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.core,jersey-common,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.core,jersey-client,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.inject,jersey-hk2,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.connectors,jersey-apache-connector,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.media,jersey-media-multipart,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,rss-bot,10.0.4-SNAPSHOT,com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.19.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.apache.commons,commons-lang3,3.17.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.19.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-devtools,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.core,jersey-common,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.core,jersey-client,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.inject,jersey-hk2,3.1.11,true,,Default,ALL
