repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,lineNumber,getCommitHash,operation,table,column
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",141,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",142,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_class,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",142,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_sid,
github.com,"spring-projects/spring-security",main,"web/src/test/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImplTests.java",175,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,username
github.com,"spring-projects/spring-security",main,"web/src/test/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImplTests.java",175,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,series
github.com,"spring-projects/spring-security",main,"web/src/test/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImplTests.java",175,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,token
github.com,"spring-projects/spring-security",main,"web/src/test/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImplTests.java",175,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,last_used
github.com,"spring-projects/spring-security",main,"web/src/main/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImpl.java",45,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,username
github.com,"spring-projects/spring-security",main,"web/src/main/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImpl.java",45,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,series
github.com,"spring-projects/spring-security",main,"web/src/main/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImpl.java",45,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,token
github.com,"spring-projects/spring-security",main,"web/src/main/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImpl.java",45,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,persistent_logins,last_used
github.com,"spring-projects/spring-security",main,"web/src/main/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImpl.java",53,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,persistent_logins,token
github.com,"spring-projects/spring-security",main,"web/src/main/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImpl.java",53,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,persistent_logins,last_used
github.com,"spring-projects/spring-security",main,"web/src/main/java/org/springframework/security/web/authentication/rememberme/JdbcTokenRepositoryImpl.java",57,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,persistent_logins,
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",71,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,users,
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",73,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,password
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",73,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,enabled
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",77,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,authorities,
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",79,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,username
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",81,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,password
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",83,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,groups,group_name
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",85,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,group_members,username
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",90,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,groups,id
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",94,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,groups,
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",96,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,group_authorities,
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",98,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,group_members,
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",100,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,groups,group_name
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",104,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,group_members,
github.com,"spring-projects/spring-security",main,"core/src/main/java/org/springframework/security/provisioning/JdbcUserDetailsManager.java",109,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,group_authorities,
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/core/userdetails/jdbc/JdbcDaoImplTests.java",90,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,FOO,USERS
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/core/userdetails/jdbc/JdbcDaoImplTests.java",91,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,FOO,USERS
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",128,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,username
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",128,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,password
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",128,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,enabled
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",128,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,acc_locked
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",128,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,acc_expired
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",128,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,creds_expired
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",132,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,password
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",132,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,enabled
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",132,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,acc_locked
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",132,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,acc_expired
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",132,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",UPDATE,users,creds_expired
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",282,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,groups,authority
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",295,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,groups,id
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",301,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,groups,id
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",308,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,group_members,username
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",314,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,group_members,group_id
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",329,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,group_authorities,authority
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",336,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,group_authorities,authority
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",338,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,group_authorities,authority
github.com,"spring-projects/spring-security",main,"core/src/test/java/org/springframework/security/provisioning/JdbcUserDetailsManagerTests.java",354,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,authorities,
github.com,"spring-projects/spring-authorization-server",main,"docs/src/main/java/sample/jpa/repository/authorization/AuthorizationRepository.java",36,"0a87e78bd1ac9e37f7c5d2c5f97de81c4d995085",SELECT,Authorization,a
github.com,"spring-projects/spring-batch",main,"spring-batch-test/src/test/java/org/springframework/batch/test/SampleStepTests.java",66,"caa451551f544e83b314a3ea819f6edffc0cea59",SELECT,TESTS,ID
github.com,"spring-projects/spring-batch",main,"spring-batch-samples/src/main/java/org/springframework/batch/sample/domain/trade/internal/JdbcCustomerDebitDao.java",35,"caa451551f544e83b314a3ea819f6edffc0cea59",UPDATE,CUSTOMER,credit
github.com,"spring-projects/spring-batch",main,"spring-batch-samples/src/main/java/org/springframework/batch/sample/domain/trade/internal/JdbcCustomerDao.java",35,"caa451551f544e83b314a3ea819f6edffc0cea59",SELECT,CUSTOMER,ID
github.com,"spring-projects/spring-batch",main,"spring-batch-samples/src/main/java/org/springframework/batch/sample/domain/trade/internal/JdbcCustomerDao.java",35,"caa451551f544e83b314a3ea819f6edffc0cea59",SELECT,CUSTOMER,NAME
github.com,"spring-projects/spring-batch",main,"spring-batch-samples/src/main/java/org/springframework/batch/sample/domain/trade/internal/JdbcCustomerDao.java",35,"caa451551f544e83b314a3ea819f6edffc0cea59",SELECT,CUSTOMER,CREDIT
