repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,name,requestedVersion,version
github.com,adrai/flowchart.js,master,GITHUB,"https://github.com/adrai/flowchart.js/blob/master",lodash,>=0.2.1,
github.com,heyxyz/hey,main,GITHUB,"https://github.com/heyxyz/hey/blob/main",uuid,^10.0.0,
github.com,heyxyz/hey,main,GITHUB,"https://github.com/heyxyz/hey/blob/main",uuid,^10.0.0,
github.com,sindresorhus/caprine,main,GITHUB,"https://github.com/sindresorhus/caprine/blob/main",lodash,^4.17.21,4.17.21
github.com,OptimalBits/bull,develop,GITHUB,"https://github.com/OptimalBits/bull/blob/develop",lodash,^4.17.21,
github.com,Shopify/polaris,main,GITHUB,"https://github.com/Shopify/polaris/blob/main",js-yaml,^4.1.0,4.1.0
github.com,Shopify/polaris,main,GITHUB,"https://github.com/Shopify/polaris/blob/main",js-yaml,^4.1.0,4.1.0
github.com,Shopify/polaris,main,GITHUB,"https://github.com/Shopify/polaris/blob/main",js-yaml,^4.0.0,4.1.0
github.com,Shopify/polaris,main,GITHUB,"https://github.com/Shopify/polaris/blob/main",js-yaml,^4.1.0,4.1.0
github.com,lyswhut/lx-music-desktop,master,GITHUB,"https://github.com/lyswhut/lx-music-desktop/blob/master",crypto-js,^4.2.0,4.2.0
github.com,"react-grid-layout/react-grid-layout",master,GITHUB,"https://github.com/react-grid-layout/react-grid-layout/blob/master",lodash,^4.17.21,
github.com,Unitech/pm2,master,GITHUB,"https://github.com/Unitech/pm2/blob/master",js-yaml,~4.1.0,4.1.0
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,^7.8.1,
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,^7.8.1,
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,^7.8.1,
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,~7.8.0,
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,~7.8.0,
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,7.8.1,
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,^7.8.1,
github.com,"getsentry/sentry-javascript",develop,GITHUB,"https://github.com/getsentry/sentry-javascript/blob/develop",rxjs,^7.8.1,
