repositoryOrigin,repositoryPath,repositoryBranch,buildToolType,buildToolVersion,lstSerializerVersion,timestampEpochMillis,timestampUtc
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915034965,2023-08-13T08:23:54.965Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915306293,2023-08-13T08:28:26.293Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915005165,2023-08-13T08:23:25.165Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915236153,2023-08-13T08:27:16.153Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915079626,2023-08-13T08:24:39.626Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914965299,2023-08-13T08:22:45.299Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915093172,2023-08-13T08:24:53.172Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915019882,2023-08-13T08:23:39.882Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915206996,2023-08-13T08:26:46.996Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914900822,2023-08-13T08:21:40.822Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915122124,2023-08-13T08:25:22.124Z
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918901262,"2023-08-13T09:28:21.262592301Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691919140444,"2023-08-13T09:32:20.444802314Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918373740,"2023-08-13T09:19:33.740787122Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918833141,"2023-08-13T09:27:13.141474736Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918947132,"2023-08-13T09:29:07.132916641Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691919071315,"2023-08-13T09:31:11.315863091Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691919121646,"2023-08-13T09:32:01.646570593Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918651303,"2023-08-13T09:24:11.303158439Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918932952,"2023-08-13T09:28:52.952019801Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918731931,"2023-08-13T09:25:31.931094453Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918971377,"2023-08-13T09:29:31.377394082Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691918694917,"2023-08-13T09:24:54.917931362Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691919156319,"2023-08-13T09:32:36.319795276Z"
github.com,"spring-cloud/spring-cloud-gateway",main,Maven,1.7.1,1.33.1,1691919008396,"2023-08-13T09:30:08.396950243Z"
github.com,"spring-projects/spring-vault",main,Maven,1.7.1,1.33.1,1691883844482,"2023-08-12T23:44:04.482597703Z"
github.com,"spring-projects/spring-vault",main,Maven,1.7.1,1.33.1,1691883808589,"2023-08-12T23:43:28.589683850Z"
github.com,"spring-projects/spring-vault",main,Maven,1.7.1,1.33.1,1691883767418,"2023-08-12T23:42:47.418366421Z"
